,partenaire pour relance,Nom de l'entreprise,EP/ES,Ville,Code postal,"NAF Rév. 2, code principal (code)",Dernière année disponible,"Chiffre d'affaires
kEUR
Dernière année disp.",Raison sociale (partie 1),Raison sociale (partie 2),Numéro et voie,E-mail générique,Numéro de téléphone,"Nombre d'employés
Dernière année disp.",Activités
51.,,PERRIOL PRODUCTION,EP,ALBON,26140,0161Z,30/06/2014,1 157,PERRIOL PRODUCTION,ESPACE ECONOMI AXE 7,LES MARRONS,,,1,Activités de soutien aux cultures
212.,,HYPHARM,ES,ALBON,26140,0149Z,,n.d.,HYPHARM,,FONT FLACHIER,grimaudfreres@grimaudfreres.com,04 75 31 41 17,n.d.,Élevage d'autres animaux
164.,,SARL DAUTHEVILLE TRAITEUR,EP,ALBOUSSIERE,07440,1013B,31/03/2014,213,SARL DAUTHEVILLE TRAITEUR,,ZONE ARTISANALE LA CHALAYE,,04 75 40 66 26,n.d.,Charcuterie
211.,,HM CLAUSE,ES,ALIXAN,26300,0113Z,,n.d.,HM.CLAUSE,,AVENUE DE LA GARE,contact@hmclause.com,,n.d.,"Culture de légumes, de melons, de racines et de tubercules"
232.,,SARL HORTICOLE DES CHARMES,ES,ANNEYRON,26140,0130Z,,n.d.,SARL HORTICOLE DES CHARMES,,QUARTIER DES ROUGES,,04 75 31 61 44,n.d.,Reproduction de plantes
150.,,SARL AUX DELICES D'ARLANDES,EP,ANNEYRON,26140,1071C,31/12/2013,256,SARL AUX DELICES D'ARLANDES,,50 RUE MAURICE FAURE,,04 75 31 43 75,3,Boulangerie et boulangerie-pâtisserie
213.,,KERRY INGREDIENTS FRANCE,ES,ANNEYRON,26140,1082Z,,n.d.,KERRY INGREDIENTS FRANCE,KERRI APTUNION KERRY PSF KERRY RAVIFRU,LES JOMARDS,,04 74 84 08 53,n.d.,"Fabrication de cacao, chocolat et de produits de confiserie"
19.,,CARAMANFRUIT RHONE-ALPES,EP,ANNEYRON,26140,1039B,31/12/2013,9 153,CARAMANFRUIT RHONE ALPES,,FONDEVILLE ET CAREMENTRAND,contact@caramanfruit.fr,04 75 31 65 70,n.d.,Transformation et conservation de fruits
15.,,CAP'FRUIT,EP,ANNEYRON,26140,1039B,31/12/2013,20 000,CAP FRUIT,,230 ROUTE DE FONDEVILLE,info@capfruit.com,04 75 31 40 22,n.d.,Transformation et conservation de fruits
20.,,DEROUX FRERES,EP,ARTHEMONAY,26260,0147Z,31/12/2013,6 512,DEROUX FRERES,,1330 C ROUTE DE LA VERNE,oeufdescollines@wanadoo.fr,04 75 45 66 75,15,Élevage de volailles
90.,,SCEA LA THONINIERE,EP,BEAUCHASTEL,07800,0124Z,31/12/2013,551,SCEA LA THONINIERE,,,,,n.d.,Culture de fruits à pépins et à noyau
73.,,SARL MAX MELLOR,EP,BEAUMONT LES VALENCE,26760,1071C,30/09/2014,719,SARL MAX MELLOR,,ROUTE DE VALENCE,,04 75 59 50 32,12,Boulangerie et boulangerie-pâtisserie
133.,,FERME DES VOLONTEUX,EP,BEAUMONT LES VALENCE,26760,0113Z,31/12/2013,299,FERME DES VOLONTEUX,LA FERME LES VOLONTEUX,LE VOLONTEUX,,04 75 25 71 56,n.d.,"Culture de légumes, de melons, de racines et de tubercules"
